data_coleta,rodovia,impacto,aviso
2025-06-29,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 110, próximo a Tenda Zulian em Antônio Prado, estreitamento de pista para manutenção em new Jersey;"
2025-06-29,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 127, próximo a Mecânica Ouro Diesel em Antônio Prado, estreitamento de pista para conformação de terreno e concretagem;"
2025-06-29,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 39, do posto da PRE em Portão ao refúgio em São Vendelino, instalação de meios fios, manutenção de sinalização e sistema de drenagem;"
2025-06-29,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 58 ao 62, manutenção em meios fios;"
2025-06-30,ERS-446,OBRAS COM IMPACTO NO TRAFEGO,"*Km 00 ao 14, do viaduto sobre a ERS-122 em São Vendelino ao trevo de acesso a Carlos Barbosa, pare e siga e estreitamento de pista para manutenção da faixa de domínio e reparos localizados;"
2025-06-30,ERS-446,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 14, , do viaduto sobre a ERS-122 em São Vendelino ao trevo de acesso a Carlos Barbosa manutenção do sistema de drenagem;"
2025-06-30,BRS-470,OBRAS COM IMPACTO NO TRAFEGO,"*km 220 ao 233, do Trevo Santa Tereza em Bento Gonçalves ao trevo de acesso a Montenegro em Carlos Barbosa, estreitamento de pista para reparo localizado;"
2025-06-30,RSC-287,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 08, próximo ao Frigonal, pare e siga para aferição de radar;"
2025-06-30,RSC-287,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 08 ao 12, do Antigo Frigonal a Floricultura Santa Bárbara em Montenegro, manutenção da faixa de domínio;"
2025-06-30,RSC-453,OBRAS COM IMPACTO NO TRAFEGO,"*Km 101 ao 121, do trevo de entroncamento com a BRS-470 em Garibaldi ao entroncamento com a ERS-122 em Farroupilha, estreitamento de pista para reparo localizado;"
2025-06-30,RSC-453,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 110 ao 121, do Sapore Lanches ao trevo de entroncamento ccom a ERS-122 em Farroupilha, manutenção de faixa de domínio, sinalização e meios fios;"
2025-06-30,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 14, próximo ao posto Shell Portão, pare e siga para aferição de radar;"
2025-06-30,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 22, próximo ao Campo de Futebol em Capela de Santana, pare e siga para aferição de radar;"
